machine_identifier,timestamp,accumulated_dead_time,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-19T07:00:00.000Z,14.127,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-19T11:00:00.000Z,24.353,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-24T14:00:00.000Z,29.413,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-25T16:00:00.000Z,10.844,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-07-12T08:00:00.000Z,507.71299999999997,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-07-18T06:00:00.000Z,115.437,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-07-18T09:00:00.000Z,31.751,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-07-28T05:00:00.000Z,31.759,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-12T17:00:00.000Z,38.296,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-05-25T20:00:00.000Z,26.027,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-06-05T03:00:00.000Z,12.736,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-06-10T20:00:00.000Z,72.411,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-14T14:00:00.000Z,101.924,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-14T19:00:00.000Z,18.784,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-15T01:00:00.000Z,0.016,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-25T04:00:00.000Z,35.456,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-25T10:00:00.000Z,48.421,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-28T20:00:00.000Z,36.913,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-30T03:00:00.000Z,54.044000000000004,3.0.0.0.1168.0.0.0,3,0,0,1168
innovative_cheese_machine,2022-07-27T21:00:00.000Z,17.968,3.0.0.0.1171.0.0.0,3,0,0,1171
innovative_cheese_machine,2022-05-13T14:00:00.000Z,475.398,30.0.103.3.1498.17744.0.0,30,0,3,1498
innovative_cheese_machine,2022-06-02T04:00:00.000Z,353.528,30.0.103.3.1498.17744.0.0,30,0,3,1498
innovative_cheese_machine,2022-06-21T01:00:00.000Z,596.021,30.0.103.3.1498.17744.0.0,30,0,3,1498
innovative_cheese_machine,2022-06-27T04:00:00.000Z,3.428,318.1.266.0.1331.2.1.0,318,1,0,1331
innovative_cheese_machine,2022-05-10T03:00:00.000Z,26.286,318.1.266.0.1331.4.1.0,318,1,0,1331
innovative_cheese_machine,2022-05-23T13:00:00.000Z,11.323,318.1.266.0.1331.4.1.0,318,1,0,1331
innovative_cheese_machine,2022-05-31T20:00:00.000Z,30.799,318.1.266.0.1331.4.1.0,318,1,0,1331
innovative_cheese_machine,2022-06-07T23:00:00.000Z,42.733,318.1.266.0.1331.4.1.0,318,1,0,1331
innovative_cheese_machine,2022-05-16T12:00:00.000Z,32.724,318.1.768.0.1427.0.0.0,318,1,0,1427
innovative_cheese_machine,2022-06-30T09:00:00.000Z,39.029,318.1.768.0.1427.0.0.0,318,1,0,1427
innovative_cheese_machine,2022-05-24T06:00:00.000Z,0.064,318.1.768.0.2104.0.0.0,318,1,0,2104
innovative_cheese_machine,2022-05-24T13:00:00.000Z,0.064,318.1.768.0.2104.0.0.0,318,1,0,2104
innovative_cheese_machine,2022-06-08T11:00:00.000Z,0.064,318.1.768.0.2104.0.0.0,318,1,0,2104
innovative_cheese_machine,2022-07-11T13:00:00.000Z,186.322,318.1.797.0.1271.0.0.0,318,1,0,1271
innovative_cheese_machine,2022-05-30T04:00:00.000Z,520.625,318.1.797.0.1498.17744.0.0,318,1,0,1498
innovative_cheese_machine,2022-07-11T12:00:00.000Z,53.069,318.1.797.0.1931.0.3.0,318,1,0,1931
innovative_cheese_machine,2022-05-25T07:00:00.000Z,61.059,318.1.797.0.1931.0.4.0,318,1,0,1931
innovative_cheese_machine,2022-06-29T06:00:00.000Z,56.883,318.1.797.0.1931.0.4.0,318,1,0,1931
innovative_cheese_machine,2022-05-05T21:00:00.000Z,30.448,318.2.266.0.1331.2.1.0,318,2,0,1331
innovative_cheese_machine,2022-06-15T05:00:00.000Z,23.149,318.2.266.0.1331.2.1.0,318,2,0,1331
innovative_cheese_machine,2022-05-23T13:00:00.000Z,54.248999999999995,318.2.266.0.1331.3.1.0,318,2,0,1331
