machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-05T19:31:11.170Z,2022-05-05T19:35:02.100Z,230.93,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-05T19:41:25.862Z,2022-05-05T19:42:56.210Z,90.348,93.0.0.0.2030.0.84.0,93,0,0,2030
innovative_cheese_machine,2022-05-05T19:45:18.656Z,2022-05-05T19:46:06.160Z,47.504,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-05T21:14:06.814Z,2022-05-05T21:14:23.898Z,17.084,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-05T21:52:32.552Z,2022-05-05T21:53:03.000Z,30.448,318.2.266.0.1331.2.1.0,318,2,0,1331
innovative_cheese_machine,2022-05-05T22:52:45.159Z,2022-05-05T22:53:34.700Z,49.541,1.0.130.1.1179.0.3.0,1,0,1,1179
innovative_cheese_machine,2022-05-06T04:44:19.260Z,2022-05-06T04:45:28.709Z,69.449,93.0.0.0.1999.0.2.0,93,0,0,1999
innovative_cheese_machine,2022-05-06T06:07:40.908Z,2022-05-06T06:07:50.952Z,10.044,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T09:32:27.465Z,2022-05-06T09:34:47.675Z,140.21,2.0.130.0.1010.0.0.0,2,0,0,1010
innovative_cheese_machine,2022-05-06T09:50:02.655Z,2022-05-06T09:50:17.230Z,14.575,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-06T09:58:12.596Z,2022-05-06T09:58:22.843Z,10.247,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-06T10:17:50.126Z,2022-05-06T10:18:00.875Z,10.749,92.0.122.0.1019.0.1.0,92,0,0,1019
innovative_cheese_machine,2022-05-06T11:04:56.432Z,2022-05-06T11:05:06.979Z,10.547,92.0.122.0.1019.0.1.0,92,0,0,1019
